title,ingredients,state,diet,meal_time,dish_type,calories,protein,fat,carbs,sodium,nutrition_basis,slot_portion_g,calories_slot,protein_slot,fat_slot,carbs_slot,sodium_slot,calculation_method,source_url,calculation_notes,sodium_slot_mg,sodium_mg_100g,condition,diet_enc,meal_time_enc,dish_type_enc
Pepper Chicken,"Chicken, poultry, leg, skinless, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Pepper, black, Cumin seeds, Curry leaves, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,dinner,main,212.6,9.7,8.2,2.2,0.45,per 100 g finished dish,300,637.8,29.1,24.6,6.6,1.35,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,"Pepper chicken; semi-dry preparation, per 100 g finished dish.",1350,450,hypertension,0,2,1
Chicken Biryani,"Rice, raw, milled, Chicken, poultry, leg, skinless, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Milk, whole, Cow, Ghee, Gingelly oil, Coriander leaves, Chillies, green - all varieties, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch,main,227.4,8,6.9,19,0.351,per 100 g finished dish,400,909.6,32,27.6,76,1.404,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Home-style chicken biryani; milk used as curd proxy in marinade.,1404,351,diabetes,0,3,1
Chicken Curry,"Chicken, poultry, leg, skinless, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Coconut, kernel, fresh, Gingelly oil, Chillies, red, Coriander seeds, Cumin seeds, Turmeric powder, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch,side,194.1,7.7,9.3,2.9,0.381,per 100 g finished dish,400,776.4,30.8,37.2,11.6,1.524,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Tamil-style chicken curry; per 100 g finished dish.,1524,381,hypertension,0,3,2
Egg Curry,"Egg, poultry, whole, raw, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Gingelly oil, Chillies, red, Coriander seeds, Cumin seeds, Turmeric powder, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch,side,67.3,3.9,4.7,2.1,0.365,per 100 g finished dish,400,269.2,15.6,18.8,8.4,1.46,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Egg curry; per 100 g finished dish.,1460,365,hypertension,0,3,2
Fish Curry,"Vanjaram, Onion, big, Tomato, ripe, local, Tamarind, pulp, Garlic, big cloves, Ginger, fresh, Coconut, kernel, fresh, Gingelly oil, Chillies, red, Coriander seeds, Cumin seeds, Turmeric powder, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch,side,105.1,8.3,5.9,4.3,0.365,per 100 g finished dish,400,420.4,33.2,23.6,17.2,1.46,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Vanjaram fish curry; per 100 g finished dish.,1460,365,hypertension,0,3,2
Prawn Thokku,"Tiger prawns, brown, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Chillies, red, Turmeric powder, Gingelly oil, Curry leaves, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch,side,66.6,7,3,2.6,0.533,per 100 g finished dish,400,266.4,28,12,10.4,2.132,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Prawn thokku; per 100 g finished dish.,2132,533,hypertension,0,3,2
Avial,"Ash gourd, Drumstick, Carrot, orange, French beans, country, Plantain, green, Coconut, kernel, fresh, Cumin seeds, Chillies, green - all varieties, Milk, whole, Cow, Coconut oil, Turmeric powder, Curry leaves, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch,side,82.7,1.4,6.5,4.5,0.303,per 100 g finished dish,400,330.8,5.6,26,18,1.212,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Avial modeled with milk as curd proxy (IFCT lacks curd row).,1212,303,hypertension,1,3,2
Coconut Rice,"Rice, raw, milled, Coconut, kernel, fresh, Mustard seeds, Chillies, green - all varieties, Curry leaves, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch,main,172.3,2.8,8.1,21.8,0.308,per 100 g finished dish,400,689.2,11.2,32.4,87.2,1.232,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Coconut rice; per 100 g finished dish.,1232,308,diabetes,1,3,1
Curd Rice,"Rice, raw, milled, Milk, whole, Cow, Coconut, kernel, fresh, Ginger, fresh, Chillies, green - all varieties, Coriander leaves, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch,main,103.8,2.8,2.6,16.9,0.259,per 100 g finished dish,400,415.2,11.2,10.4,67.6,1.036,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Curd rice modeled with whole cow milk as curd proxy (IFCT lacks curd row).,1036,259,hypertension,1,3,1
Keerai Masiyal,"Amaranth leaves, green, Onion, big, Tomato, ripe, local, Garlic, big cloves, Red gram, dal, Chillies, green - all varieties, Cumin seeds, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch,side,51.5,3,1.6,5.7,0.287,per 100 g finished dish,400,206,12,6.4,22.8,1.148,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Amaranth keerai masiyal; per 100 g finished dish.,1148,287,hypertension,1,3,2
Kootu,"Green gram, dal, Ash gourd, Carrot, orange, Coconut, kernel, fresh, Cumin seeds, Chillies, green - all varieties, Turmeric powder, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch,side,78,2.8,4.2,6.9,0.314,per 100 g finished dish,400,312,11.2,16.8,27.6,1.256,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Vegetable kootu; per 100 g finished dish.,1256,314,hypertension,1,3,2
Lemon Rice,"Rice, raw, milled, Lemon, juice, Ginger, fresh, Chillies, green - all varieties, Mustard seeds, Turmeric powder, Curry leaves, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch,main,124.5,2.4,2.6,22.1,0.307,per 100 g finished dish,400,498,9.6,10.4,88.4,1.228,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Lemon rice; per 100 g finished dish.,1228,307,diabetes,1,3,1
Rasam Rice,"Rice, raw, milled, Tomato, ripe, local, Tamarind, pulp, Garlic, big cloves, Pepper, black, Cumin seeds, Coriander leaves, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch,main,101.2,2.3,0.9,20.4,0.294,per 100 g finished dish,400,404.8,9.2,3.6,81.6,1.176,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rasam rice; per 100 g finished dish.,1176,294,diabetes,1,3,1
Sambar Rice,"Rice, raw, milled, Red gram, dal, Drumstick, Carrot, orange, Tomato, ripe, local, Onion, big, Tamarind, pulp, Coriander seeds, Cumin seeds, Turmeric powder, Chillies, red, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch,main,107.9,3.3,2,18.5,0.304,per 100 g finished dish,400,431.6,13.2,8,74,1.216,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Mixed-vegetable sambar sadam; per 100 g finished dish.,1216,304,diabetes,1,3,1
Tamarind Rice,"Rice, raw, milled, Tamarind, pulp, Gingelly oil, Mustard seeds, Chillies, red, Turmeric powder, Asafoetida, Curry leaves, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch,main,140.5,2.6,3,25.3,0.372,per 100 g finished dish,400,562,10.4,12,101.2,1.488,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Puliyodarai-style tamarind rice; per 100 g finished dish.,1488,372,diabetes,1,3,1
Tomato Rice,"Rice, raw, milled, Tomato, ripe, local, Onion, big, Ginger, fresh, Garlic, big cloves, Chillies, green - all varieties, Coriander seeds, Cumin seeds, Turmeric powder, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,vegetarian,lunch,main,117,2.5,2.4,20.8,0.319,per 100 g finished dish,400,468,10,9.6,83.2,1.276,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Tomato rice; per 100 g finished dish.,1276,319,diabetes,1,3,1
Anchovy Curry,"Anchovy, Onion, small, Tomato, ripe, local, Tamarind, pulp, Garlic, big cloves, Gingelly oil, Chillies, red, Coriander seeds, Cumin seeds, Turmeric powder, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch/dinner,side,66.7,6.3,2.6,4.2,0.325,per 100 g finished dish,400,266.8,25.2,10.4,16.8,1.3,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Anchovy tamarind curry; per 100 g finished dish.,1300,325,hypertension,0,4,2
Chicken Biryani + Omelette,"Milk, whole, Cow, Ghee, Gingelly oil, Coriander leaves, Chillies, green - all varieties, Table salt (sodium from NaCl), Water, Garlic, big cloves, Ginger, fresh, Onion, big, Tomato, ripe, local, Chicken, poultry, leg, skinless, Rice, raw, milled, Egg, poultry, whole, raw",Tamil Nadu,non_vegetarian,lunch/dinner,main,192.9,9.1,8.2,12,0.347,per 100 g finished dish,400,771.6,36.4,32.8,48,1.388,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Chicken biryani and omelette combo; per 100 g finished dish.,1388,347,hypertension,0,4,1
Chicken Masala,"Chicken, poultry, leg, skinless, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Coriander seeds, Cumin seeds, Chillies, red, Turmeric powder, Groundnut oil, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch/dinner,side,162.5,7.4,6.2,2.4,0.258,per 100 g finished dish,400,650,29.6,24.8,9.6,1.032,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Chicken masala gravy; per 100 g finished dish.,1032,258,hypertension,0,4,2
Chicken Sukka,"Chicken, poultry, leg, skinless, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Coconut, kernel, fresh, Gingelly oil, Pepper, black, Chillies, red, Coriander seeds, Cumin seeds, Turmeric powder, Curry leaves, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch/dinner,main,229.9,9.6,10.3,3.1,0.339,per 100 g finished dish,400,919.6,38.4,41.2,12.4,1.356,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Dry-style chicken sukka; per 100 g finished dish.,1356,339,hypertension,0,4,1
Coconut Rice + Chicken Curry,"Rice, raw, milled, Curry leaves, Chillies, green - all varieties, Mustard seeds, Gingelly oil, Table salt (sodium from NaCl), Coconut, kernel, fresh, Water, Turmeric powder, Cumin seeds, Coriander seeds, Chillies, red, Garlic, big cloves, Ginger, fresh, Tomato, ripe, local, Onion, big, Chicken, poultry, leg, skinless",Tamil Nadu,non_vegetarian,lunch/dinner,main,182.1,5,8.6,13.3,0.341,per 100 g finished dish,400,728.4,20,34.4,53.2,1.364,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Coconut rice and chicken curry combo; per 100 g finished dish.,1364,341,hypertension,0,4,1
Egg Biryani,"Rice, raw, milled, Egg, poultry, whole, raw, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Milk, whole, Cow, Ghee, Gingelly oil, Coriander leaves, Chillies, green - all varieties, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch/dinner,main,139.8,4.9,4.8,18.9,0.356,per 100 g finished dish,400,559.2,19.6,19.2,75.6,1.424,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Egg biryani; per 100 g finished dish.,1424,356,diabetes,0,4,1
Egg Biryani + Chicken Curry,"Coriander leaves, Table salt (sodium from NaCl), Water, Chillies, green - all varieties, Ghee, Milk, whole, Cow, Garlic, big cloves, Gingelly oil, Tomato, ripe, local, Onion, big, Egg, poultry, whole, raw, Rice, raw, milled, Ginger, fresh, Turmeric powder, Cumin seeds, Coriander seeds, Chillies, red, Coconut, kernel, fresh, Chicken, poultry, leg, skinless",Tamil Nadu,non_vegetarian,lunch/dinner,main,164.2,6.2,6.8,11.7,0.367,per 100 g finished dish,400,656.8,24.8,27.2,46.8,1.468,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Egg biryani and chicken curry combo; per 100 g finished dish.,1468,367,hypertension,0,4,1
Egg Masala,"Egg, poultry, whole, raw, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Coriander seeds, Cumin seeds, Turmeric powder, Groundnut oil, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch/dinner,side,71.2,4.5,4.6,2.8,0.349,per 100 g finished dish,400,284.8,18,18.4,11.2,1.396,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Egg masala gravy; per 100 g finished dish.,1396,349,hypertension,0,4,2
Egg Roast,"Egg, poultry, whole, raw, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Chillies, red, Coriander seeds, Turmeric powder, Groundnut oil, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch/dinner,side,95,6.1,6.2,3.6,0.47,per 100 g finished dish,400,380,24.4,24.8,14.4,1.88,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Egg roast masala; per 100 g finished dish.,1880,470,hypertension,0,4,2
Fish Biryani,"Rice, raw, milled, Vanjaram, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Milk, whole, Cow, Ghee, Gingelly oil, Coriander leaves, Chillies, green - all varieties, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch/dinner,main,142.4,7.8,4.1,18.2,0.34,per 100 g finished dish,400,569.6,31.2,16.4,72.8,1.36,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Fish biryani; per 100 g finished dish.,1360,340,diabetes,0,4,1
Fish Biryani + Egg Curry,"Gingelly oil, Table salt (sodium from NaCl), Rice, raw, milled, Vanjaram, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Milk, whole, Cow, Ghee, Coriander leaves, Chillies, green - all varieties, Water, Turmeric powder, Cumin seeds, Coriander seeds, Chillies, red, Egg, poultry, whole, raw",Tamil Nadu,non_vegetarian,lunch/dinner,main,108.6,6,4.4,11,0.352,per 100 g finished dish,400,434.4,24,17.6,44,1.408,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Fish biryani and egg curry combo; per 100 g finished dish.,1408,352,hypertension,0,4,1
Lemon Rice + Egg Curry,"Chillies, green - all varieties, Mustard seeds, Turmeric powder, Gingelly oil, Table salt (sodium from NaCl), Curry leaves, Lemon, juice, Water, Ginger, fresh, Rice, raw, milled, Cumin seeds, Coriander seeds, Chillies, red, Garlic, big cloves, Tomato, ripe, local, Egg, poultry, whole, raw, Onion, big",Tamil Nadu,non_vegetarian,lunch/dinner,main,98.8,3.1,3.6,13.1,0.333,per 100 g finished dish,400,395.2,12.4,14.4,52.4,1.332,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Lemon rice and egg curry combo; per 100 g finished dish.,1332,333,hypertension,0,4,1
Mutton Biryani,"Rice, raw, milled, Goat, shoulder, meat, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Milk, whole, Cow, Ghee, Gingelly oil, Coriander leaves, Chillies, green - all varieties, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch/dinner,main,148.1,7.2,5.8,16.4,0.297,per 100 g finished dish,400,592.4,28.8,23.2,65.6,1.188,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Mutton biryani; per 100 g finished dish.,1188,297,hypertension,0,4,1
Mutton Biryani + Egg Curry,"Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Milk, whole, Cow, Gingelly oil, Water, Goat, shoulder, meat, Table salt (sodium from NaCl), Chillies, green - all varieties, Coriander leaves, Ghee, Rice, raw, milled, Turmeric powder, Cumin seeds, Coriander seeds, Chillies, red, Egg, poultry, whole, raw",Tamil Nadu,non_vegetarian,lunch/dinner,main,111.8,5.8,5.3,10,0.328,per 100 g finished dish,400,447.2,23.2,21.2,40,1.312,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Mutton biryani and egg curry combo; per 100 g finished dish.,1312,328,hypertension,0,4,1
Mutton Curry,"Goat, shoulder, meat, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Coconut, kernel, fresh, Gingelly oil, Chillies, red, Coriander seeds, Cumin seeds, Turmeric powder, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch/dinner,side,113.2,8.2,7.8,2.5,0.307,per 100 g finished dish,400,452.8,32.8,31.2,10,1.228,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Mutton curry; per 100 g finished dish.,1228,307,hypertension,0,4,2
Mutton Pepper Fry,"Goat, shoulder, meat, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Pepper, black, Cumin seeds, Coriander seeds, Coconut, kernel, fresh, Gingelly oil, Curry leaves, Turmeric powder, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch/dinner,main,117.8,8,8.1,3.1,0.293,per 100 g finished dish,400,471.2,32,32.4,12.4,1.172,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Mutton pepper fry; per 100 g finished dish.,1172,293,hypertension,0,4,1
Prawn Curry,"Tiger prawns, brown, Onion, big, Tomato, ripe, local, Tamarind, pulp, Garlic, big cloves, Ginger, fresh, Coconut, kernel, fresh, Gingelly oil, Chillies, red, Coriander seeds, Cumin seeds, Turmeric powder, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch/dinner,side,72.9,5.3,4,3.8,0.336,per 100 g finished dish,400,291.6,21.2,16,15.2,1.344,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Prawn curry; per 100 g finished dish.,1344,336,hypertension,0,4,2
Prawn Masala,"Tiger prawns, brown, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Coriander seeds, Cumin seeds, Chillies, red, Turmeric powder, Gingelly oil, Table salt (sodium from NaCl), Water",Tamil Nadu,non_vegetarian,lunch/dinner,side,58.8,6.1,2.4,2.9,0.372,per 100 g finished dish,400,235.2,24.4,9.6,11.6,1.488,IFCT 2017 ingredient-based estimate,https://www.nin.res.in/ebooks/IFCT2017.pdf,Prawn masala gravy; per 100 g finished dish.,1488,372,hypertension,0,4,2
Tamarind Rice + Fish Fry,"Rice, raw, milled, Tamarind, pulp, Gingelly oil, Mustard seeds, Chillies, red, Asafoetida, Curry leaves, Water, Turmeric powder, Table salt (sodium from NaCl), Vanjaram, Garlic, big cloves, Lemon, juice, Ginger, fresh",Tamil Nadu,non_vegetarian,lunch/dinner,main,151.9,9.9,5.8,14.5,0.428,per 100 g finished dish,400,607.6,39.6,23.2,58,1.712,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Tamarind rice and fish fry combo; per 100 g finished dish.,1712,428,hypertension,0,4,1
Tomato Rice + Chicken Curry,"Tomato, ripe, local, Ginger, fresh, Water, Table salt (sodium from NaCl), Gingelly oil, Turmeric powder, Cumin seeds, Coriander seeds, Chillies, green - all varieties, Garlic, big cloves, Onion, big, Rice, raw, milled, Chillies, red, Coconut, kernel, fresh, Chicken, poultry, leg, skinless",Tamil Nadu,non_vegetarian,lunch/dinner,main,151.7,4.8,5.5,12.7,0.347,per 100 g finished dish,400,606.8,19.2,22,50.8,1.388,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Tomato rice and chicken curry combo; per 100 g finished dish.,1388,347,hypertension,0,4,1
Vegetable Biryani + Egg Curry,"Potato, brown skin, big, Tomato, ripe, local, Chillies, green - all varieties, Garlic, big cloves, Onion, big, French beans, country, Peas, fresh, Milk, whole, Cow, Ghee, Gingelly oil, Ginger, fresh, Water, Table salt (sodium from NaCl), Coriander leaves, Carrot, orange, Rice, raw, milled, Turmeric powder, Cumin seeds, Coriander seeds, Chillies, red, Egg, poultry, whole, raw",Tamil Nadu,non_vegetarian,lunch/dinner,main,93.7,3.3,3.6,11.7,0.34,per 100 g finished dish,400,374.8,13.2,14.4,46.8,1.36,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Vegetable biryani and egg curry combo; per 100 g finished dish.,1360,340,hypertension,0,4,1
White Rice + Anchovy Curry,"Rice, raw, milled, Water, Table salt (sodium from NaCl), Turmeric powder, Cumin seeds, Coriander seeds, Chillies, red, Onion, small, Garlic, big cloves, Tamarind, pulp, Tomato, ripe, local, Anchovy, Gingelly oil",Tamil Nadu,non_vegetarian,lunch/dinner,main,88.8,4.2,1.2,14.8,0.147,per 100 g finished dish,400,355.2,16.8,4.8,59.2,0.588,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and anchovy curry combo; per 100 g finished dish.,588,147,healthy,0,4,1
White Rice + Chicken Curry,"Rice, raw, milled, Water, Turmeric powder, Cumin seeds, Coriander seeds, Chillies, red, Gingelly oil, Coconut, kernel, fresh, Garlic, big cloves, Ginger, fresh, Tomato, ripe, local, Onion, big, Chicken, poultry, leg, skinless, Table salt (sodium from NaCl)",Tamil Nadu,non_vegetarian,lunch/dinner,main,146.2,4.8,4.3,14.2,0.172,per 100 g finished dish,400,584.8,19.2,17.2,56.8,0.688,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and chicken curry combo; per 100 g finished dish.,688,172,healthy,0,4,1
White Rice + Chicken Curry + Cabbage Poriyal,"Rice, raw, milled, Water, Turmeric powder, Cumin seeds, Coriander seeds, Chillies, red, Gingelly oil, Coconut, kernel, fresh, Garlic, big cloves, Ginger, fresh, Tomato, ripe, local, Onion, big, Chicken, poultry, leg, skinless, Table salt (sodium from NaCl), Chillies, green - all varieties, Cabbage, green, Mustard seeds",Tamil Nadu,non_vegetarian,lunch/dinner,main,127,3.9,4.3,12.4,0.18,per 100 g finished dish,400,508,15.6,17.2,49.6,0.72,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,"Rice, chicken curry and cabbage poriyal combo; per 100 g finished dish.",720,180,healthy,0,4,1
White Rice + Chicken Masala,"Rice, raw, milled, Water, Chicken, poultry, leg, skinless, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Coriander seeds, Cumin seeds, Chillies, red, Turmeric powder, Groundnut oil, Table salt (sodium from NaCl)",Tamil Nadu,non_vegetarian,lunch/dinner,main,131.9,4.6,2.9,14,0.117,per 100 g finished dish,400,527.6,18.4,11.6,56,0.468,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and chicken masala combo; per 100 g finished dish.,468,117,healthy,0,4,1
White Rice + Chicken Sukka,"Rice, raw, milled, Water, Table salt (sodium from NaCl), Curry leaves, Chicken, poultry, leg, skinless, Onion, big, Cumin seeds, Pepper, black, Gingelly oil, Coconut, kernel, fresh, Garlic, big cloves, Ginger, fresh, Tomato, ripe, local, Turmeric powder, Chillies, red, Coriander seeds",Tamil Nadu,non_vegetarian,lunch/dinner,main,162.3,5.6,4.7,14.3,0.153,per 100 g finished dish,400,649.2,22.4,18.8,57.2,0.612,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and chicken sukka combo; per 100 g finished dish.,612,153,healthy,0,4,1
White Rice + Egg Curry,"Rice, raw, milled, Water, Table salt (sodium from NaCl), Turmeric powder, Cumin seeds, Coriander seeds, Chillies, red, Gingelly oil, Garlic, big cloves, Tomato, ripe, local, Ginger, fresh, Egg, poultry, whole, raw, Onion, big",Tamil Nadu,non_vegetarian,lunch/dinner,main,89.1,3.1,2.2,13.9,0.165,per 100 g finished dish,400,356.4,12.4,8.8,55.6,0.66,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and egg curry combo; per 100 g finished dish.,660,165,healthy,0,4,1
White Rice + Egg Curry + Beans Poriyal,"Rice, raw, milled, Water, Table salt (sodium from NaCl), Turmeric powder, Cumin seeds, Coriander seeds, Chillies, red, Gingelly oil, Garlic, big cloves, Tomato, ripe, local, Ginger, fresh, Egg, poultry, whole, raw, Onion, big, French beans, country, Mustard seeds, Chillies, green - all varieties, Coconut, kernel, fresh",Tamil Nadu,non_vegetarian,lunch/dinner,main,88.5,2.9,3,12.1,0.18,per 100 g finished dish,400,354,11.6,12,48.4,0.72,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,"Rice, egg curry and beans poriyal combo; per 100 g finished dish.",720,180,healthy,0,4,1
White Rice + Egg Masala,"Rice, raw, milled, Water, Egg, poultry, whole, raw, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Coriander seeds, Cumin seeds, Turmeric powder, Groundnut oil, Table salt (sodium from NaCl)",Tamil Nadu,non_vegetarian,lunch/dinner,main,90.8,3.3,2.2,14.2,0.157,per 100 g finished dish,400,363.2,13.2,8.8,56.8,0.628,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and egg masala combo; per 100 g finished dish.,628,157,healthy,0,4,1
White Rice + Egg Roast,"Rice, raw, milled, Water, Egg, poultry, whole, raw, Onion, big, Tomato, ripe, local, Ginger, fresh, Garlic, big cloves, Chillies, red, Coriander seeds, Turmeric powder, Groundnut oil, Table salt (sodium from NaCl)",Tamil Nadu,non_vegetarian,lunch/dinner,main,101.5,4,2.9,14.5,0.212,per 100 g finished dish,400,406,16,11.6,58,0.848,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and egg roast combo; per 100 g finished dish.,848,212,hypertension,0,4,1
White Rice + Fish Curry,"Rice, raw, milled, Water, Table salt (sodium from NaCl), Tomato, ripe, local, Tamarind, pulp, Garlic, big cloves, Ginger, fresh, Coconut, kernel, fresh, Gingelly oil, Chillies, red, Coriander seeds, Cumin seeds, Turmeric powder, Vanjaram, Onion, big",Tamil Nadu,non_vegetarian,lunch/dinner,main,106.1,5.1,2.8,14.9,0.165,per 100 g finished dish,400,424.4,20.4,11.2,59.6,0.66,Weighted combination of IFCT-based component dishes,https://www.nin.res.in/ebooks/IFCT2017.pdf,Rice and fish curry combo; per 100 g finished dish.,660,165,healthy,0,4,1
